column_name,value,count
Src IP,41.164.3.244,520
Src IP,182.149.192.168,492
Src IP,41.91.115.91,470
Src IP,41.72.66.76,456
Src IP,182.143.192.168,432
Src IP,182.141.192.168,429
Src IP,182.138.192.168,415
Src IP,182.142.192.168,411
Src IP,41.40.114.209,410
Src IP,182.180.192.168,409
Src IP,41.26.39.127,406
Src IP,182.139.192.168,399
Src IP,192.168.1.133,393
Src IP,182.148.192.168,388
Src IP,183.54.192.168,373
Src IP,182.201.192.168,351
Src IP,183.58.192.168,350
Src IP,182.140.192.168,348
Src IP,41.219.29.220,345
Src IP,182.175.192.168,343
Src IP,182.97.192.168,332
Src IP,183.53.192.168,328
Src IP,182.159.192.168,328
Src IP,183.57.192.168,323
Src IP,182.178.192.168,320
Src IP,192.168.1.17,318
Src IP,183.74.192.168,315
Src IP,183.70.192.168,308
Src IP,41.185.201.54,304
Src IP,38.81.192.168,297
Src IP,182.179.192.168,283
Src IP,246.2.192.168,258
Src IP,181.97.192.168,258
Src IP,245.248.192.168,255
Src IP,246.14.192.168,255
Src IP,246.78.192.168,255
Src IP,245.252.192.168,255
Src IP,245.250.192.168,253
Src IP,76.148.192.168,253
Src IP,239.162.192.168,253
Src IP,239.168.192.168,253
Src IP,207.71.192.168,252
Src IP,239.158.192.168,251
Src IP,76.149.192.168,250
Src IP,239.159.192.168,250
Src IP,76.159.192.168,249
Src IP,44.62.192.168,249
Src IP,76.191.192.168,248
Src IP,239.200.192.168,248
Src IP,76.153.192.168,247
Src IP,76.150.192.168,246
Src IP,192.168.1.194,245
Src IP,239.157.192.168,245
Src IP,183.30.192.168,242
Src IP,111.149.192.168,241
Src IP,181.87.192.168,236
Src IP,183.43.192.168,235
Src IP,192.168.1.34,230
Src IP,5.177.192.168,227
Src IP,183.29.192.168,225
Src IP,183.73.192.168,223
Src IP,181.152.192.168,218
Src IP,183.44.192.168,218
Src IP,183.69.192.168,213
Src IP,181.161.192.168,212
Src IP,182.187.192.168,197
Src IP,91.52.192.168,188
Src IP,75.209.192.168,188
Src IP,168.199.192.168,183
Src IP,254.61.192.168,182
Src IP,167.72.176.28,177
Src IP,192.168.1.43,175
Src IP,192.168.1.250,173
Src IP,117.18.237.29,162
Dst IP,192.168.1.195,904615
Dst IP,192.168.1.35,763518
Dst IP,192.168.1.1,740117
Dst IP,192.168.1.39,519806
Dst IP,192.168.1.152,424531
Dst IP,192.168.1.190,330956
Dst IP,176.28.50.165,223092
Dst IP,192.168.1.32,217737
Dst IP,18.194.169.124,186891
Dst IP,52.28.231.150,185932
Dst IP,192.168.1.36,154630
Dst IP,1.169.74.125,116835
Dst IP,69.151.192.168,84504
Dst IP,1.31.192.168,72889
Dst IP,192.168.1.79,56099
Dst IP,1.169.216.58,40243
Dst IP,1.32.192.168,37524
Dst IP,192.168.1.33,34855
Dst IP,1.30.192.168,30124
Dst IP,1.184.192.168,20924
Dst IP,192.168.1.37,18563
Dst IP,1.1.192.168,15932
Dst IP,1.195.192.168,15071
Dst IP,1.34.192.168,13590
Dst IP,196.142.192.168,13554
Dst IP,1.38.192.168,10316
Dst IP,192.168.1.193,8042
Dst IP,239.255.255.250,6447
Dst IP,224.0.0.252,5983
Dst IP,1.190.192.168,5573
Dst IP,1.152.192.168,4952
Dst IP,1.169.192.168,4820
Dst IP,192.0.32.59,4493
Dst IP,171.136.192.168,4296
Dst IP,1.193.192.168,4232
Dst IP,1.31.52.59,3660
Dst IP,224.0.0.251,2531
Dst IP,203.119.86.101,2050
Dst IP,1.194.192.168,2028
Dst IP,189.152.192.168,1938
Dst IP,1.169.40.90,1636
Dst IP,1.39.192.168,1456
Dst IP,192.168.1.255,1385
Dst IP,192.168.1.180,1268
Dst IP,192.30.45.30,1239
Dst IP,1.169.172.217,1214
Dst IP,192.34.234.30,1201
Dst IP,192.168.1.184,1176
Dst IP,8.0.6.4,1114
Dst IP,1.36.192.168,1087
Dst IP,109.8.192.168,1013
Dst IP,1.169.52.255,1011
Dst IP,64.124.14.21,988
Dst IP,199.15.83.22,967
Dst IP,192.5.6.30,905
Dst IP,8.8.8.8,899
Dst IP,199.15.84.131,851
Dst IP,192.168.1.31,803
Dst IP,1.195.224.0,726
Dst IP,1.79.192.168,594
Dst IP,1.195.239.255,577
Dst IP,224.0.0.22,567
Dst IP,0.5.192.168,566
Dst IP,40.90.189.152,520
Dst IP,204.61.216.50,507
Dst IP,1.35.192.168,497
Dst IP,192.168.1.194,487
Dst IP,1.190.172.17,479
Dst IP,40.90.190.179,477
Dst IP,1.33.192.168,476
Dst IP,177.21.192.168,476
Dst IP,248.128.192.168,468
Dst IP,192.168.1.30,463
Dst IP,192.33.14.30,452
Dst IP,0.7.192.168,402
Dst IP,192.58.128.30,390
Dst IP,57.151.192.168,389
Dst IP,199.7.83.42,383
Dst IP,232.240.192.168,381
Dst IP,50.165.192.168,379
Dst IP,193.108.88.128,373
Dst IP,192.5.5.241,351
Dst IP,81.91.170.6,342
Dst IP,0.1.192.168,329
Dst IP,208.84.2.53,316
Dst IP,199.7.91.13,315
Dst IP,1.43.192.168,291
Dst IP,1.30.176.28,264
Dst IP,193.108.91.240,259
Dst IP,1.152.3.122,255
Dst IP,205.251.193.121,246
Dst IP,1.39.176.28,245
Dst IP,192.26.92.30,243
Dst IP,192.203.230.10,241
Dst IP,192.168.1.169,235
Dst IP,25.162.192.168,233
Dst IP,1.38.18.184,233
Dst IP,101.119.11.11,231
Dst IP,144.48.166.166,223
Dst IP,1.38.52.59,223
Timestamp,28/04/2019 03:49:07 pm,5605
Timestamp,28/04/2019 03:49:06 pm,4671
Timestamp,28/04/2019 03:49:05 pm,3989
Timestamp,28/04/2019 03:49:08 pm,3168
Timestamp,28/04/2019 03:49:33 pm,2563
Timestamp,28/04/2019 03:49:20 pm,2450
Timestamp,28/04/2019 03:49:25 pm,2256
Timestamp,28/04/2019 03:49:26 pm,2191
Timestamp,28/04/2019 03:49:22 pm,2176
Timestamp,27/04/2019 03:39:45 pm,2173
Timestamp,28/04/2019 03:49:13 pm,2139
Timestamp,28/04/2019 03:49:21 pm,2123
Timestamp,28/04/2019 03:49:16 pm,2014
Timestamp,28/04/2019 03:49:10 pm,2006
Timestamp,28/04/2019 03:49:14 pm,1997
Timestamp,28/04/2019 03:49:34 pm,1985
Timestamp,28/04/2019 03:49:11 pm,1961
Timestamp,28/04/2019 03:49:32 pm,1957
Timestamp,28/04/2019 03:49:18 pm,1942
Timestamp,28/04/2019 03:49:27 pm,1921
Timestamp,28/04/2019 03:49:29 pm,1855
Timestamp,28/04/2019 03:49:23 pm,1835
Timestamp,28/04/2019 03:49:17 pm,1807
Timestamp,28/04/2019 03:49:09 pm,1785
Timestamp,28/04/2019 03:49:12 pm,1758
Timestamp,28/04/2019 03:49:24 pm,1745
Timestamp,27/04/2019 05:37:56 pm,1734
Timestamp,28/04/2019 03:49:31 pm,1731
Timestamp,27/04/2019 03:32:16 pm,1667
Timestamp,28/04/2019 03:49:37 pm,1605
Timestamp,27/04/2019 04:04:41 pm,1578
Timestamp,28/04/2019 03:49:28 pm,1557
Timestamp,28/04/2019 03:49:15 pm,1530
Timestamp,27/04/2019 08:33:15 pm,1509
Timestamp,27/04/2019 07:21:30 pm,1481
Timestamp,27/04/2019 04:17:44 pm,1431
Timestamp,28/04/2019 03:49:19 pm,1425
Timestamp,27/04/2019 04:24:53 pm,1408
Timestamp,28/04/2019 03:49:36 pm,1374
Timestamp,27/04/2019 09:11:52 pm,1372
Timestamp,27/04/2019 03:20:33 pm,1367
Timestamp,27/04/2019 06:49:34 pm,1357
Timestamp,27/04/2019 04:10:26 pm,1349
Timestamp,27/04/2019 04:28:33 pm,1338
Timestamp,27/04/2019 03:54:27 pm,1318
Timestamp,28/04/2019 03:49:35 pm,1318
Timestamp,27/04/2019 03:57:51 pm,1313
Timestamp,27/04/2019 03:43:36 pm,1296
Timestamp,30/04/2019 12:31:29 am,1292
Timestamp,27/04/2019 04:04:42 pm,1284
Timestamp,27/04/2019 04:37:44 pm,1264
Timestamp,27/04/2019 04:17:53 pm,1253
Timestamp,27/04/2019 03:34:27 pm,1245
Timestamp,27/04/2019 06:28:40 pm,1235
Timestamp,27/04/2019 04:24:42 pm,1232
Timestamp,27/04/2019 04:11:29 pm,1217
Timestamp,30/04/2019 12:31:28 am,1207
Timestamp,27/04/2019 09:36:42 pm,1191
Timestamp,30/04/2019 12:31:22 am,1178
Timestamp,27/04/2019 08:04:29 pm,1166
Timestamp,27/04/2019 07:57:10 pm,1155
Timestamp,27/04/2019 06:32:08 pm,1150
Timestamp,27/04/2019 04:11:30 pm,1146
Timestamp,27/04/2019 04:03:14 pm,1144
Timestamp,30/04/2019 12:31:25 am,1135
Timestamp,27/04/2019 03:54:18 pm,1122
Timestamp,27/04/2019 05:30:44 pm,1121
Timestamp,27/04/2019 03:39:50 pm,1109
Timestamp,30/04/2019 12:31:27 am,1099
Timestamp,27/04/2019 03:13:59 pm,1092
Timestamp,27/04/2019 08:38:25 pm,1091
Timestamp,27/04/2019 05:25:31 pm,1090
Timestamp,27/04/2019 04:21:16 pm,1087
Timestamp,27/04/2019 03:55:36 pm,1087
Timestamp,27/04/2019 09:01:20 pm,1085
Timestamp,30/04/2019 12:31:30 am,1075
Timestamp,27/04/2019 04:21:17 pm,1072
Timestamp,27/04/2019 06:21:34 pm,1072
Timestamp,27/04/2019 06:14:25 pm,1061
Timestamp,30/04/2019 12:44:05 am,1059
Timestamp,27/04/2019 04:24:54 pm,1053
Timestamp,30/04/2019 12:31:41 am,1053
Timestamp,28/04/2019 03:49:38 pm,1050
Timestamp,27/04/2019 08:29:26 pm,1045
Timestamp,27/04/2019 08:15:13 pm,1042
Timestamp,27/04/2019 07:50:00 pm,1038
Timestamp,27/04/2019 08:51:20 pm,1037
Timestamp,27/04/2019 09:34:56 pm,1031
Timestamp,27/04/2019 07:53:51 pm,1030
Timestamp,27/04/2019 06:17:59 pm,1028
Timestamp,27/04/2019 07:55:30 pm,1027
Timestamp,27/04/2019 04:31:18 pm,1026
Timestamp,27/04/2019 08:45:22 pm,1022
Timestamp,27/04/2019 04:34:37 pm,1021
Timestamp,27/04/2019 03:34:26 pm,1021
Timestamp,29/04/2019 10:57:48 pm,1020
Timestamp,30/04/2019 12:31:37 am,1019
Timestamp,27/04/2019 03:43:23 pm,1018
Timestamp,30/04/2019 12:33:30 am,1016
Timestamp,27/04/2019 06:14:36 pm,1016
