dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label,is_unknown_target,binary_prob,binary_pred,anomaly_score,unknown_by_anom,mc_pred,mc_max_prob,mc_top1_class,mc_top1_prob,mc_top2_class,mc_top2_prob,mc_top3_class,mc_top3_prob,unknown_pred,mode,mc_conf_min,final_decision
0.0011,udp,-,CON,2,2,146,178,2727.272742,31,29,530909.125,647272.75,0,0,0.011,0.002,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,13,0,3,1,1,1,0,0,0,2,12,0,Normal,0,0,2.9309261607507607e-06,0,-0.1291556607990066,0,,,,,,,,,0,anomaly_only,0.6,benign
0.418031,tcp,-,FIN,10,8,738,354,40.66684,254,252,12726.3291,5932.574219,2,1,45.340667,52.354,3155.28365,107.630516,255,576423558,3419995242,255,0.108602,0.051547,0.057055,74,44,0,0,11,1,2,2,1,9,0,0,0,3,9,0,Normal,0,0,0.3697796741640588,0,-0.1295072464516944,0,,,,,,,,,0,anomaly_only,0.6,benign
0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.676,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,Normal,0,0,1.1219896632083852e-05,0,-0.0620937842989476,0,,,,,,,,,0,anomaly_only,0.6,benign
2.376219,tcp,-,FIN,10,8,994,354,7.154223,254,252,3013.190186,1043.674805,2,1,256.879556,323.295563,16075.21408,474.339625,255,3759053119,4261053344,255,0.236914,0.113149,0.123765,99,44,0,0,4,1,3,2,2,2,0,0,0,3,3,0,Normal,0,0,0.1668551772339971,0,-0.1032102509309305,0,,,,,,,,,0,anomaly_only,0.6,benign
0.000979,udp,dns,CON,2,2,146,178,3064.351366,31,29,596527.0625,727272.75,0,0,0.007,0.002,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,4,0,3,1,1,1,0,0,0,5,2,0,Normal,0,0,3.50170084245908e-06,0,-0.1485412815573355,0,,,,,,,,,0,anomaly_only,0.6,benign
0.492698,tcp,-,FIN,10,8,1780,354,34.503894,254,252,26011.87695,5033.509277,2,1,54.744222,61.671285,3465.141806,105.695672,255,105023059,1466744240,255,0.111999,0.059957,0.052042,178,44,0,0,9,1,2,2,1,9,0,0,0,2,9,0,Normal,0,0,0.8533301335153268,0,-0.128195401473059,0,,,,,,,,,0,anomaly_only,0.6,benign
0.001014,udp,-,CON,2,2,146,178,2958.579772,31,29,575936.875,702169.625,0,0,0.011,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,5,0,2,1,1,1,0,0,0,1,11,0,Normal,0,0,1.5143140884277306e-06,0,-0.1353545637121677,0,,,,,,,,,0,anomaly_only,0.6,benign
0.001098,udp,dns,CON,2,2,146,178,2732.24049,31,29,531876.125,648451.75,0,0,0.011,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,8,1,1,1,0,0,0,1,2,0,Normal,0,0,5.066762743152834e-06,0,-0.1422570158429874,0,,,,,,,,,0,anomaly_only,0.6,benign
3e-06,eigrp,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,2,5,0,Exploits,1,0,0.9997267103029924,1,-0.0589608765275611,0,Exploits,0.439828264602497,Exploits,0.439828264602497,DoS,0.3184247289372433,Backdoor,0.0816286062425307,0,anomaly_only,0.6,attack:Exploits
1.1e-05,udp,-,INT,2,0,168,0,90909.0902,254,0,61090908.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,7,2,1,1,1,1,0,0,0,2,1,0,Reconnaissance,1,0,0.9858007390607418,1,-0.1150762521349301,0,Reconnaissance,0.9955145657041692,Reconnaissance,0.9955145657041692,DoS,0.0015378805883056,Exploits,0.0013903592241894,0,anomaly_only,0.6,attack:Reconnaissance
1.1e-05,udp,-,INT,2,0,168,0,90909.0902,254,0,61090908.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,3,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1,0,0.987827293537166,1,-0.1146562684793702,0,Reconnaissance,0.9952979767922024,Reconnaissance,0.9952979767922024,DoS,0.001616616981242,Exploits,0.0014071140281347,0,anomaly_only,0.6,attack:Reconnaissance
0.584568,tcp,ftp-data,FIN,8,10,364,4382,29.081303,62,252,4365.616699,53974.89844,1,3,83.509717,59.159778,5650.904271,5193.816744,255,3076326256,3555944110,255,0.094096,0.047797,0.046299,46,438,0,0,1,1,2,1,1,2,0,0,0,2,1,0,Exploits,1,0,0.999721364938515,1,-0.1016627378553213,0,Exploits,0.9985568242907326,Exploits,0.9985568242907326,DoS,0.0008357684454981,Generic,0.0002937489965487,0,anomaly_only,0.6,attack:Exploits
59.686649,tcp,-,CON,548,356,263040,15308,15.129011,254,252,35191.78906,2046.018677,274,0,109.433304,168.464703,5739.422178,187.021562,255,2263928505,463094449,255,0.12066,0.080372,0.040288,480,43,0,0,3,0,2,2,2,2,0,0,0,2,2,0,DoS,1,0,0.9993254860395206,1,0.1179330828981883,1,DoS,0.928817177682632,DoS,0.928817177682632,Fuzzers,0.0457239302940032,Exploits,0.0206959268306334,1,anomaly_only,0.6,unknown
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,15,2,9,9,9,15,0,0,0,9,15,0,Generic,1,0,0.9999986112875028,1,-0.0444236026625291,0,Generic,0.9996086435880512,Generic,0.9996086435880512,Exploits,0.0001460448733987,DoS,0.0001115770267567,0,anomaly_only,0.6,attack:Generic
3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,20,2,17,17,17,20,0,0,0,17,20,0,Generic,1,0,0.9999951468220122,1,0.0163182950420386,0,Generic,0.9998560642027966,Generic,0.9998560642027966,Exploits,4.774615053525776e-05,DoS,4.025843294344688e-05,0,anomaly_only,0.6,attack:Generic
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,25,2,27,25,25,28,0,0,0,26,25,0,Generic,1,0,0.9999972814146044,1,0.0474004916440649,1,Generic,0.9998914109066264,Generic,0.9998914109066264,Exploits,3.1116982699808075e-05,Fuzzers,2.812669735176132e-05,1,anomaly_only,0.6,unknown
8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,8,2,6,6,6,8,0,0,0,23,8,0,DoS,1,0,0.9999985086753888,1,-0.0122452346317043,0,Backdoor,0.4438505826328087,Backdoor,0.4438505826328087,Analysis,0.4081719268751996,DoS,0.0647959166998718,0,anomaly_only,0.6,attack:Backdoor
1.800035,tcp,-,FIN,10,8,998,354,9.444261,254,252,3995.477783,1377.750977,2,1,200.003889,248.160719,12195.23887,396.215688,255,195190380,3360154430,255,0.105471,0.062223,0.043248,100,44,0,0,2,1,1,1,1,1,0,0,0,1,2,0,Exploits,1,0,0.7954533635099155,0,-0.1304773673617531,0,,,,,,,,,0,anomaly_only,0.6,benign
0.485623,tcp,-,FIN,10,8,738,354,35.006579,254,252,10955.0,5106.842285,2,1,51.546333,59.581,3480.999826,101.263813,255,1972307726,1717973145,255,0.102641,0.068546,0.034095,74,44,0,0,9,1,2,2,1,2,0,0,0,3,8,0,Fuzzers,1,0,0.4211214224476592,0,-0.1391895056349816,0,,,,,,,,,0,anomaly_only,0.6,benign
4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,30,2,9,9,9,30,0,0,0,10,30,0,Generic,1,0,0.9999980007399936,1,-0.0157363886929595,0,Generic,0.9997971564865256,Generic,0.9997971564865256,Exploits,6.5754905273693e-05,DoS,4.509892227631343e-05,0,anomaly_only,0.6,attack:Generic
0.319053,tcp,-,FIN,12,14,1270,9422,78.356889,62,252,29211.44727,219374.2188,3,5,29.004818,23.256922,1496.953233,1746.795375,255,2227660257,387747775,255,0.050591,0.005895,0.044696,106,673,0,0,3,1,1,1,1,1,0,0,0,1,1,0,Exploits,1,0,0.9998584797930078,1,-0.1028575418569637,0,Exploits,0.959426788963892,Exploits,0.959426788963892,DoS,0.0311122889509168,Generic,0.0054704740769116,0,anomaly_only,0.6,attack:Exploits
0.248198,tcp,http,FIN,10,6,1186,268,60.435619,254,252,34424.12891,7220.041992,2,1,26.062667,47.526602,2066.89823,85.420648,255,194777962,3273563128,255,0.023777,0.010556,0.013221,119,45,1,0,2,1,1,1,1,1,0,0,1,1,1,0,Exploits,1,0,0.9973035312260582,1,-0.0829387727446778,0,Exploits,0.9396893719281992,Exploits,0.9396893719281992,DoS,0.0353885786791912,Reconnaissance,0.0106278722889742,0,anomaly_only,0.6,attack:Exploits
1.9e-05,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,10,2,4,4,4,4,0,0,0,11,10,0,Fuzzers,1,0,0.9999845742751928,1,-0.0394269117189022,0,Analysis,0.615682848134676,Analysis,0.615682848134676,Exploits,0.1721585343216541,DoS,0.1207205390488028,0,anomaly_only,0.6,attack:Analysis
6e-06,udp,-,INT,2,0,168,0,166666.6608,254,0,112000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,3,2,1,1,1,1,0,0,0,2,1,0,Reconnaissance,1,0,0.9973412528999372,1,-0.1133183172755227,0,Reconnaissance,0.9953584862074116,Reconnaissance,0.9953584862074116,DoS,0.0015141695510764,Exploits,0.001384506341965,0,anomaly_only,0.6,attack:Reconnaissance
8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,37,2,22,22,22,37,0,0,0,22,37,0,Generic,1,0,0.9999932103213204,1,0.0433540483122615,0,Generic,0.9998885906242422,Generic,0.9998885906242422,Exploits,3.111689493159924e-05,Fuzzers,2.8126618017917463e-05,0,anomaly_only,0.6,attack:Generic
1.1e-05,udp,-,INT,2,0,168,0,90909.0902,254,0,61090908.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,2,1,1,1,0,0,0,1,1,0,Reconnaissance,1,0,0.9951462069506642,1,-0.1149626075443629,0,Reconnaissance,0.9954022219854772,Reconnaissance,0.9954022219854772,DoS,0.0016345179188397,Exploits,0.0014062967057854,0,anomaly_only,0.6,attack:Reconnaissance
7e-06,udp,dns,INT,2,0,114,0,142857.1409,254,0,65142856.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,8,2,5,4,4,4,0,0,0,4,8,0,Generic,1,0,0.999991579052598,1,-0.0801260404557417,0,Generic,0.9986526300086666,Generic,0.9986526300086666,Exploits,0.0005971553422818,DoS,0.0003803085795223,0,anomaly_only,0.6,attack:Generic
0.229998,tcp,-,FIN,10,6,1202,268,65.217956,254,252,37635.10938,7791.37207,2,1,23.647889,44.179199,1163.880288,63.830512,255,532580023,835441530,255,0.055729,0.009091,0.046638,120,45,0,0,4,1,1,1,1,1,0,0,0,1,1,0,Exploits,1,0,0.9944400266527176,1,-0.131418453298783,0,Exploits,0.8127028940144948,Exploits,0.8127028940144948,Shellcode,0.0910461456275624,DoS,0.0626069086790667,0,anomaly_only,0.6,attack:Exploits
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,43,2,43,43,25,43,0,0,0,47,43,0,Generic,1,0,0.9999985647168892,1,0.1074106885985641,1,Generic,0.99988238680595,Generic,0.99988238680595,Exploits,3.647870706246536e-05,Fuzzers,2.808725449008369e-05,1,anomaly_only,0.6,unknown
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,36,2,32,32,12,36,0,0,0,33,36,0,Generic,1,0,0.9999980284864172,1,0.0666807967830446,1,Generic,0.9998877090244256,Generic,0.9998877090244256,Exploits,3.111686749589379e-05,Fuzzers,2.812659321873332e-05,1,anomaly_only,0.6,unknown
3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,43,2,43,43,18,43,0,0,0,43,43,0,Generic,1,0,0.999999516597484,1,0.1132787246221188,1,Generic,0.999881334514682,Generic,0.999881334514682,Exploits,3.64786686717252e-05,Fuzzers,2.8087224930634472e-05,1,anomaly_only,0.6,unknown
5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,28,2,23,23,23,28,0,0,0,23,28,0,Generic,1,0,0.9999981090112532,1,0.0409287869576303,0,Generic,0.9998905325891164,Generic,0.9998905325891164,Exploits,3.111695536624919e-05,Fuzzers,2.8126672644907646e-05,0,anomaly_only,0.6,attack:Generic
0.992942,tcp,smtp,FIN,66,26,64915,2016,91.646846,62,252,515091.5313,15622.2627,30,8,15.276031,38.872602,1173.452024,44.281219,255,3384852280,2204237943,255,0.060477,0.013835,0.046642,984,78,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1,0,0.9997576605441916,1,-0.0480124481236902,0,Exploits,0.9690023930966728,Exploits,0.9690023930966728,DoS,0.0278425648858255,Generic,0.0022425607288844,0,anomaly_only,0.6,attack:Exploits
4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,10,2,2,2,2,2,0,0,0,2,10,0,Generic,1,0,0.9999179341928178,1,-0.0925694445602434,0,Generic,0.9933179184233284,Generic,0.9933179184233284,Exploits,0.002573906455221,DoS,0.0022170628730621,0,anomaly_only,0.6,attack:Generic
