feature,train_non_null,test_non_null,train_missing_ratio,test_missing_ratio,train_mean,test_mean,mean_diff,train_median,test_median,train_std,test_std,abs_smd
fwd_packet_length_mean,2542141,288602,0.0,0.0,60.07840415240463,41.6731542557517,-18.405249896652933,35.0,29.0,192.14772583138938,118.94141501940761,0.115181599356725
init_win_bytes_forward,2542141,288602,0.0,0.0,7148.798856947746,5589.631211841914,-1559.167645105832,251.0,351.0,14472.63543043438,13016.620265661051,0.11327954117121848
bwd_iat_mean,2542141,288602,0.0,0.0,1869340.9007026309,1245942.8984065568,-623398.0022960741,3.0,3.0,9020598.363412881,7588855.580717806,0.07478809913219606
bwd_iat_total,2542141,288602,0.0,0.0,10083453.61468581,8223540.208820452,-1859913.4058653573,3.0,3.0,28954950.61411439,26678380.30855374,0.06680736497223069
bwd_packets_s,2542141,288602,0.0,0.0,6743.667954681319,9210.730559911077,2467.0626052297575,19.2596587188,26.433872365,37780.62935796576,41210.19309094481,0.06240574624536164
down_up_ratio,2542141,288602,0.0,0.0,0.6878351751535419,0.6453177732656046,-0.04251740188793729,1.0,1.0,0.6796654844684977,0.6865491826304907,0.062240383205445254
fwd_psh_flags,2542141,288602,0.0,0.0,0.04760829552727406,0.03621250025987346,-0.011395795267400602,0.0,0.0,0.2129360550971008,0.18681883207269656,0.05689262213045117
syn_flag_count,2542141,288602,0.0,0.0,0.04760829552727406,0.03621250025987346,-0.011395795267400602,0.0,0.0,0.2129360550971008,0.18681883207269656,0.05689262213045117
init_win_bytes_backward,2542141,288602,0.0,0.0,2034.7948032780243,1589.8648554064075,-444.92994787161683,-1.0,-1.0,8520.32725652489,7864.710939547595,0.05426587260612369
fwd_urg_flags,2542141,288602,0.0,0.0,0.0,0.0010914685275916314,0.0010914685275916314,0.0,0.0,0.0,0.033019403414449776,0.04674734958863578
cwe_flag_count,2542141,288602,0.0,0.0,0.0,0.0010914685275916314,0.0010914685275916314,0.0,0.0,0.0,0.033019403414449776,0.04674734958863578
active_min,2542141,288602,0.0,0.0,60588.084675476304,38104.46166000236,-22483.623015473946,0.0,0.0,590536.8185747681,440800.2999241975,0.04314852226787145
fwd_iat_min,2542141,288602,0.0,0.0,1057119.4973056177,711600.6540460566,-345518.8432595611,3.0,3.0,8732086.107065676,7227965.997425808,0.04310695084099936
flow_iat_min,2542141,288602,0.0,0.0,172354.28017289363,74517.59069930215,-97836.68947359148,4.0,4.0,3039023.3249490275,2003467.1221078055,0.03801161244874738
active_mean,2542141,288602,0.0,0.0,83842.27702968556,61371.51206804381,-22470.764961641748,0.0,0.0,661626.3188237803,519510.2009962133,0.037776924314465915
urg_flag_count,2542141,288602,0.0,0.0,0.09588964577495898,0.08542906840562435,-0.010460577369334631,0.0,0.0,0.29443990169676204,0.2795196118343408,0.036438266104561516
fwd_packet_length_min,2542141,288602,0.0,0.0,18.88957221491648,17.164104891857992,-1.7254673230584885,2.0,2.0,62.7519071060436,31.97435034421558,0.03464765557107834
bwd_iat_min,2542141,288602,0.0,0.0,990803.0392775224,759895.376227469,-230907.6630500534,1.0,1.0,8411018.523946298,7346017.955847672,0.029241798188100826
active_max,2542141,288602,0.0,0.0,155529.08093492847,132512.92946341328,-23016.151471515186,0.0,0.0,1036473.2157530896,926505.0539473532,0.023413524351571572
bwd_packet_length_min,2542141,288602,0.0,0.0,41.120691574542874,40.42318833549317,-0.697503239049702,0.0,6.0,69.43086144616957,63.63496753603552,0.010473651138105292
min_packet_length,2542141,288602,0.0,0.0,16.411046830211227,16.641132078086777,0.23008524787555018,2.0,2.0,25.503276703893807,22.764150354928585,0.009518454408442524
destination_port,2542141,288602,0.0,0.0,8057.794691167799,8192.051115376886,134.25642420908662,80.0,443.0,18368.607578359155,17516.899862485156,0.007480380585130716
total_length_of_bwd_packets,2542141,288602,0.0,0.0,17297.966563223676,6162.1791706225185,-11135.787392601156,130.0,72.0,2387237.928844437,189739.95627465585,0.006576166035692711
subflow_bwd_bytes,2542141,288602,0.0,0.0,17297.607188586313,6162.009060921268,-11135.598127665045,130.0,72.0,2387205.7290443797,189708.96986924895,0.006576149152157254
subflow_bwd_packets,2542141,288602,0.0,0.0,10.867425134955143,6.221595830936723,-4.64582930401842,2.0,2.0,1051.8114194674372,111.39954664696397,0.0062118091556002146
total_backward_packets,2542141,288602,0.0,0.0,10.867425134955143,6.221595830936723,-4.64582930401842,2.0,2.0,1051.8114194674372,111.39954664696397,0.0062118091556002146
total_fwd_packets,2542141,288602,0.0,0.0,9.716660090844686,6.22974892758886,-3.486911163255826,2.0,2.0,790.6831233279805,74.58781689195744,0.00620911368358396
subflow_fwd_packets,2542141,288602,0.0,0.0,9.716660090844686,6.22974892758886,-3.486911163255826,2.0,2.0,790.6831233279805,74.58781689195744,0.00620911368358396
act_data_pkt_fwd,2542141,288602,0.0,0.0,5.643279818074607,3.4357662109063694,-2.2075136071682375,1.0,1.0,671.3709615253589,49.746168761915236,0.004637318196119029
flow_bytes_s,2539481,288395,0.0010463621018661042,0.0007172507467030721,1480695.9336082623,1588783.9616496377,108088.02804137534,4082.153336,19304.03861,25810552.456587672,27054447.638260473,0.004088077899842511
min_seg_size_forward,2542141,288602,0.0,0.0,-3055.8600097319545,25.686859411923688,3081.546869143878,20.0,24.0,1144921.578441722,5.85320285525466,0.0038063439954603828
bwd_header_length,2542141,288602,0.0,0.0,-2549.577444760145,160.52264710570267,2710.100091865848,40.0,40.0,1532425.4172785403,3119.1547849095605,0.0025010368026761303
rst_flag_count,2542141,288602,0.0,0.0,0.0002391684804265381,0.00027026839730840394,3.109991688186585e-05,0.0,0.0,0.015463226471974107,0.01643764850963812,0.0019488756146759244
ece_flag_count,2542141,288602,0.0,0.0,0.00024034858806022168,0.00027026839730840394,2.991980924818227e-05,0.0,0.0,0.015501319787020941,0.01643764850963812,0.0018727568235980742
fwd_header_length,2542141,288602,0.0,0.0,-28967.247911504517,162.48404030464098,29129.731951809157,64.0,48.0,22215773.17048184,2094.132799085047,0.001854342925424473
fwd_header_length.1,2542141,288602,0.0,0.0,-28967.247911504517,162.48404030464098,29129.731951809157,64.0,48.0,22215773.17048184,2094.132799085047,0.001854342925424473
active_std,2542141,288602,0.0,0.0,41087.914843730985,41541.08493246024,453.1700887292536,0.0,0.0,395105.1298701107,377860.04202457063,0.0011722581163033682
total_length_of_fwd_packets,2542141,288602,0.0,0.0,547.3822392227654,566.2162147178467,18.83397549508129,62.0,49.0,5843.775808380614,26053.49543520241,0.0009975443929450846
subflow_fwd_bytes,2542141,288602,0.0,0.0,547.3822392227654,566.1134364973216,18.731197274556166,62.0,49.0,5843.775808380614,26002.617216578274,0.0009939486862562499
bwd_psh_flags,2542141,288602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
bwd_urg_flags,2542141,288602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fwd_avg_bytes_bulk,2542141,288602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fwd_avg_packets_bulk,2542141,288602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fwd_avg_bulk_rate,2542141,288602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
bwd_avg_bytes_bulk,2542141,288602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
bwd_avg_packets_bulk,2542141,288602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
bwd_avg_bulk_rate,2542141,288602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
